name,release_year,image,platforms
Varia,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Choro Q,1984,https://giantbomb1.cbsistatic.com/uploads/scale_small/16/164924/2962445-7653350541-latest,['MSX']
The Sims 2: Celebration Stuff,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/20737/762284-the_sims_2_celebration_stuff.jpg,"['Mac', 'PC']"
Blade Master,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/13636/616472-bmaster.png,['Arcade']
Photopia,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Mac', 'PC']"
Star Trek: The Next Generation - Birth of the Federation,1999,https://giantbomb1.cbsistatic.com/uploads/scale_small/2/21048/737797-star_trek_birth_of_the_federation.jpg,['PC']
Deep Space,1986,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1987/853403-deep_space___front.jpg,"['Amiga', 'Atari ST']"
The Granstream Saga,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14761/859928-front_cover.jpg,['PlayStation']
Ring King,1985,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/8153/1082001-ring_king.jpg,"['MSX', 'Nintendo Entertainment System', 'Arcade']"
Ultima Online: Mondain's Legacy,2005,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/56/703151-ss_16.jpg,['PC']
Brave Story: New Traveler,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2484686-box_bsnt.png,"['PlayStation Portable', 'PlayStation Network (PSP)']"
Rakker and the Sinking Cities,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/8273/663501-1184830840_00.png,['PC']
Backgammon Deluxe,1997,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,['PC']
Transylvania,1982,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/8273/678536-1158227203_00.gif,"['Amiga', 'Apple II', 'Atari ST', 'Commodore 64', 'Mac', 'Atari 8-bit', 'PC', 'iPhone']"
Crime Killer,1998,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/3007518-box_ck.png,"['PlayStation', 'PC']"
Squish 'Em,1983,https://giantbomb1.cbsistatic.com/uploads/scale_small/7/73970/2795823-squish_em_atari8bit_1_1.jpg,"['Commodore 64', 'MSX', 'Atari 8-bit', 'VIC-20', 'Atari 2600', 'ColecoVision']"
Eldorado Gate Volume 2,2000,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/4647/1030051-578103_18066_front.jpg,['Dreamcast']
Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work!,1991,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/9408/712046-larry5.jpg,"['Amiga', 'Mac', 'PC']"
Rigel's Revenge,1987,https://giantbomb1.cbsistatic.com/uploads/scale_small/11/110673/3026329-gb_default-16_9.jpg,"['Amstrad CPC', 'Commodore 64', 'ZX Spectrum']"
Tremulous,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/1550/268266-134_full.jpg,"['Mac', 'PC', 'Linux']"
Yu-Gi-Oh! Reshef of Destruction,2004,https://giantbomb1.cbsistatic.com/uploads/scale_small/8/87790/2210237-box_ygorod.png,['Game Boy Advance']
Age of Empires III: The Asian Dynasties,2007,https://giantbomb1.cbsistatic.com/uploads/scale_small/1/14036/654352-aoeiiitadboxart.jpg,"['Mac', 'PC']"
F.E.A.R.: Extraction Point,2006,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/7465/705775-fearxp_boxart.jpg,['PC']
Dance Dance Revolution 5thMIX,2001,https://giantbomb1.cbsistatic.com/uploads/scale_small/0/5589/863608-ddr_5th_mix_cover.jpg,"['PlayStation', 'Arcade']"
